CourseName
CourseInstanceId~eq~'243'
CourseInstanceId~eq~'245'
CourseInstanceId~eq~'247'
CourseInstanceId~eq~'248'
CourseInstanceId~eq~'250'
CourseInstanceId~eq~'252'
CourseInstanceId~eq~'253'
CourseInstanceId~eq~'254'
CourseInstanceId~eq~'259'
CourseInstanceId~eq~'260'
CourseInstanceId~eq~'261'
CourseInstanceId~eq~'267'
CourseInstanceId~eq~'268'
CourseInstanceId~eq~'269'
CourseInstanceId~eq~'270'
CourseInstanceId~eq~'271'
CourseInstanceId~eq~'273'
CourseInstanceId~eq~'276'
